#separator:tab
#html:false
fling/a, -an, -or, -orna	Flocken
Flocken	fling/a, -an, -or, -orna
bär, -et, --, -en	Beere
Beere	bär, -et, --, -en
ett par	ein paar
ein paar	ett par
mugg, -en, -ar, -arna	Becher
Becher	mugg, -en, -ar, -arna
ibland	manchmal
manchmal	ibland
skiv/a, -an, -or, -orna	Scheibe
Scheibe	skiv/a, -an, -or, -orna
knäckebröd, -et, --, -en	Knäckebrot
Knäckebrot	knäckebröd, -et, --, -en
marmelad, -en, -er, -erna	Marmelade
Marmelade	marmelad, -en, -er, -erna
juice, -n, -r, -rna	Fruchtsaft
Fruchtsaft	juice, -n, -r, -rna
krov, -en, -ar, -arna	Wurst
Wurst	krov, -en, -ar, -arna
bit, -en, ar, -arna	Stück
Stück	bit, -en, ar, -arna
lite	ein wenig
ein wenig	lite
mjölk, -en	Milch
Milch	mjölk, -en
så	so, deshalb
so, deshalb	så
kokt	gekocht (Adjektiv)
gekocht (Adjektiv)	kokt
sock/er, -ret, -er, -ren	Zucker
Zucker	sock/er, -ret, -er, -ren
grädde, -n	Sahne
Sahne	grädde, -n
gaff/el, -eln, -lar, -larna	Gabel
Gabel	gaff/el, -eln, -lar, -larna
kniv, -en, -ar, -arna	Messer
Messer	kniv, -en, -ar, -arna
salt, -et, -er, -erna	Salz
Salz	salt, -et, -er, -erna
servett, -en, -er, -erna	Serviette
Serviette	servett, -en, -er, -erna
sked, -en, -ar, -arna	Löffel
Löffel	sked, -en, -ar, -arna
Kan du ge mig ...?	Kannst du mir bitte ... geben?
Kannst du mir bitte ... geben?	Kan du ge mig ...?
(att) ge, -r, gav, gett/givit	geben
geben	(att) ge, -r, gav, gett/givit
porslin, -et	Porzellan / Geschirr
Porzellan / Geschirr	porslin, -et
(att) kosta, -r, -de, -t	kosten (Verb)
kosten (Verb)	(att) kosta, -r, -de, -t
rätt, -en, -er, -erna	Gericht (Essen)
Gericht (Essen)	rätt, -en, -er, -erna
dagens rätt	Tagesgericht
Tagesgericht	dagens rätt
maträtt, -en, -er, -erna	Gericht (Essen)
Gericht (Essen)	maträtt, -en, -er, -erna
som (Relativpronomen)	der, die, das (Relativpronomen)
der, die, das (Relativpronomen)	som (Relativpronomen)
(att) kunna, kan, kunde, kunnat	können (Verb)
können (Verb)	(att) kunna, kan, kunde, kunnat
kron/a, -an, -or, -orna	Krone (Währung & Gegenstand)
Krone (Währung & Gegenstand)	kron/a, -an, -or, -orna
(att) få, -r, fick, fått	dürfen, müssen, bekommen, erhalten, kriegen
dürfen, müssen, bekommen, erhalten, kriegen	(att) få, -r, fick, fått
bröd, -et, --, -en	Brot
Brot	bröd, -et, --, -en
smör, -et	Butter
Butter	smör, -et
valfri	beliebig, optional, zur freien Auswahl
beliebig, optional, zur freien Auswahl	valfri
lättöl, -et, --/-er, -en	Leichtbier
Leichtbier	lättöl, -et, --/-er, -en
mineralvatt/en, -net,	Mineralwasser
Mineralwasser	mineralvatt/en, -net,
kaffe på maten	Kaffe nach dem Essen
Kaffe nach dem Essen	kaffe på maten
billig	billig
billig	billig
om (Konjunktion)	wenn, falls (Konjunktion)
wenn, falls (Konjunktion)	om (Konjunktion)
mycket	viel
viel	mycket
tid, -en, -er, -erna	Zeit
Zeit	tid, -en, -er, -erna
(att) köp/a, -er, -te, -t	kaufen
kaufen	(att) köp/a, -er, -te, -t
något att äta	etwas zu essen
etwas zu essen	något att äta
gatukök, -et, --, -en	Imbiss(bude)
Imbiss(bude)	gatukök, -et, --, -en
där	dort
dort	där
hamburgar/e, -en, -e, -na	Hamburger (Essen)
Hamburger (Essen)	hamburgar/e, -en, -e, -na
stående	stehend
stehend	stående
veckodag, -en, -ar, -arna	Wochentag
Wochentag	veckodag, -en, -ar, -arna
fredag, -en, -ar, -arna	Freitag
Freitag	fredag, -en, -ar, -arna
lördag, -en, -ar, -arna	Samstag
Samstag	lördag, -en, -ar, -arna
måndag, -en, -ar, -arna	Montag
Montag	måndag, -en, -ar, -arna
onsdag, -en, -ar, -arna	Mittwoch
Mittwoch	onsdag, -en, -ar, -arna
söndag, -en, -ar, -arna	Sonntag
Sonntag	söndag, -en, -ar, -arna
tisdag, -en, -ar, -arna	Dienstag
Dienstag	tisdag, -en, -ar, -arna
torsdag, -en, -ar, -arna	Donnerstag
Donnerstag	torsdag, -en, -ar, -arna
veck/a, -an, -or, -orna	Woche
Woche	veck/a, -an, -or, -orna
varmrätt, -en, -er, -erna	warmes Gericht (Essen)
warmes Gericht (Essen)	varmrätt, -en, -er, -erna
sallad, -en, -er	Salat
Salat	sallad, -en, -er
inklusive	einschließlich / inklusiv
einschließlich / inklusiv	inklusive
måltidsdryck, -en, -er, -erna	Getränk zu den Mahlzeiten
Getränk zu den Mahlzeiten	måltidsdryck, -en, -er, -erna
Något mer?	Noch etwas?
Noch etwas?	Något mer?
vanlig	gewöhnlich, normal
gewöhnlich, normal	vanlig
Tack så mycket!	Vielen Dank!
Vielen Dank!	Tack så mycket!
(att) för/stå, -står, -od, -ått	verstehen (Verb)
verstehen (Verb)	(att) för/stå, -står, -od, -ått
lån, -et, --, -en	(das) Leihen, etwa Geliehenes
(das) Leihen, etwa Geliehenes	lån, -et, --, -en
senast (adverb)	zuletzt (Adverb)
zuletzt (Adverb)	senast (adverb)
hjälp, -en	Hilfe
Hilfe	hjälp, -en
ikväll	heute Abend
heute Abend	ikväll
lär/a, --, -de, -t	lernen
lernen	lär/a, --, -de, -t
ny	neu
neu	ny
spel, -et, --, -en	Spiel
Spiel	spel, -et, --, -en
huvud/stad, -en, -städer, -städerna	Hauptstadt
Hauptstadt	huvud/stad, -en, -städer, -städerna
(att) ligg/a, -er, låg, legat	liegen
liegen	(att) ligg/a, -er, låg, legat
vid	an, bei
an, bei	vid
Västkusten	die Westküste
die Westküste	Västkusten
Östersjön	die Ostsee
die Ostsee	Östersjön
