#separator:tab
#html:false
skön, -t, -a	schön, hübsch
schön, hübsch	skön, -t, -a
(att) sköt/a, -er, -te, -t	pflegen
pflegen	(att) sköt/a, -er, -te, -t
(sjö)sjuk, -t, -a	(see)krank
(see)krank	(sjö)sjuk, -t, -a
sjöman, -nen, --, -nen	Seemann
Seemann	sjöman, -nen, --, -nen
bördiga åkrar	fruchtbare Äcker
fruchtbare Äcker	bördiga åkrar
smörgåsbord, -et, --, -en	Buffet
Buffet	smörgåsbord, -et, --, -en
sill, -en, -ar, -arna	Hering
Hering	sill, -en, -ar, -arna
grava/d, -t, -de	gebeizt
gebeizt	grava/d, -t, -de
skaldjur, -et, --, -en	Krustentier
Krustentier	skaldjur, -et, --, -en
Janssons frestelse	"""Janssons Versuchung"" (Auflauf aus Kartoffeln, Zwiebeln und Anchovis)"
"""Janssons Versuchung"" (Auflauf aus Kartoffeln, Zwiebeln und Anchovis)"	Janssons frestelse
fläsk, -et	Speck
Speck	fläsk, -et
hemlaga/d, -t, -de	hausgemacht, selbstgemacht
hausgemacht, selbstgemacht	hemlaga/d, -t, -de
